Site Name,Date,Entero Count,4 Days Total Rain (in),Number of Samples,Geometric Mean,Max,Min
Upper Sparkill Creek,5/22/17,>2420,0,285,435,>24196,3
Upper Sparkill Creek,5/20/17,1968,0.1,285,435,>24196,3
Upper Sparkill Creek,4/13/17,32,0.1,285,435,>24196,3
Upper Sparkill Creek,3/30/17,24,1,285,435,>24196,3
Upper Sparkill Creek,2/2/17,125,0.1,285,435,>24196,3
Upper Sparkill Creek,1/11/17,387,0.5,285,435,>24196,3
Yonkers mid-channel,10/15/17,<10,0.1,92,13,8164,<1
Yonkers mid-channel,9/10/17,<10,0.1,92,13,8164,<1
Yonkers mid-channel,8/13/17,<10,0.7,92,13,8164,<1
Yonkers mid-channel,7/9/17,<10,2.2,92,13,8164,<1
Yonkers mid-channel,6/11/17,<10,0,92,13,8164,<1
Yonkers mid-channel,5/14/17,62,1.8,92,13,8164,<1
Yonkers mid-channel,4/4/17,30,1.2,92,13,8164,<1
Saw Mill River,10/15/17,10,0.1,90,113,>24196,<10
Saw Mill River,9/10/17,20,0.1,90,113,>24196,<10
Saw Mill River,8/13/17,52,0.7,90,113,>24196,<10
Saw Mill River,7/9/17,134,2.2,90,113,>24196,<10
Saw Mill River,6/11/17,<10,0,90,113,>24196,<10
Saw Mill River,5/14/17,1067,1.8,90,113,>24196,<10
Saw Mill River,4/4/17,20,1.2,90,113,>24196,<10
Yonkers STP Outfall,10/15/17,20,0.1,91,21,2755,3
Yonkers STP Outfall,9/10/17,<10,0.1,91,21,2755,3
Yonkers STP Outfall,8/13/17,31,0.7,91,21,2755,3
Yonkers STP Outfall,7/9/17,41,2.2,91,21,2755,3
Yonkers STP Outfall,6/11/17,<10,0,91,21,2755,3
Yonkers STP Outfall,5/14/17,189,1.8,91,21,2755,3
Yonkers STP Outfall,4/4/17,110,1.2,91,21,2755,3
Dyckman Street Beach,10/15/17,<10,0.2,77,25,>24196,<10
Dyckman Street Beach,9/10/17,10,0,77,25,>24196,<10
Dyckman Street Beach,8/13/17,41,0.1,77,25,>24196,<10
Dyckman Street Beach,7/9/17,<10,1.8,77,25,>24196,<10
Dyckman Street Beach,6/11/17,10,0,77,25,>24196,<10
Dyckman Street Beach,5/14/17,10,1.6,77,25,>24196,<10
GW Bridge mid-channel,10/15/17,10,0.2,89,17,1500,<1
GW Bridge mid-channel,9/10/17,<10,0,89,17,1500,<1
GW Bridge mid-channel,8/13/17,<10,0.1,89,17,1500,<1
GW Bridge mid-channel,7/9/17,<10,1.8,89,17,1500,<1
GW Bridge mid-channel,6/11/17,10,0,89,17,1500,<1
GW Bridge mid-channel,5/14/17,41,1.6,89,17,1500,<1
GW Bridge mid-channel,4/4/17,41,1.2,89,17,1500,<1
Harlem River- Washington Bridge,10/16/17,31,0.1,83,35,>24196,8
Harlem River- Washington Bridge,9/11/17,10,0,83,35,>24196,8
Harlem River- Washington Bridge,8/14/17,<10,0.1,83,35,>24196,8
Harlem River- Washington Bridge,7/10/17,<10,1.8,83,35,>24196,8
Harlem River- Washington Bridge,6/12/17,<10,0,83,35,>24196,8
Harlem River- Washington Bridge,5/15/17,144,1.6,83,35,>24196,8
North River STP at 145th,10/15/17,10,0.2,86,33,2987,2
North River STP at 145th,9/10/17,<10,0,86,33,2987,2
North River STP at 145th,8/13/17,20,0.1,86,33,2987,2
North River STP at 145th,7/9/17,10,1.8,86,33,2987,2
North River STP at 145th,6/11/17,41,0,86,33,2987,2
North River STP at 145th,5/14/17,75,1.6,86,33,2987,2
North River STP at 145th,4/4/17,1723,1.2,86,33,2987,2
125th St. Pier,10/15/17,20,0.2,106,41,>24196,8
125th St. Pier,9/10/17,20,0,106,41,>24196,8
125th St. Pier,8/13/17,20,0.1,106,41,>24196,8
125th St. Pier,7/9/17,<10,1.8,106,41,>24196,8
125th St. Pier,6/11/17,<10,0,106,41,>24196,8
125th St. Pier,5/14/17,20,1.6,106,41,>24196,8
125th St. Pier,4/4/17,520,1.2,106,41,>24196,8
Harlem River- Willis Ave. Bridge,10/16/17,10,0.1,84,31,5635,3
Harlem River- Willis Ave. Bridge,9/11/17,<10,0,84,31,5635,3
Harlem River- Willis Ave. Bridge,8/14/17,<10,0.1,84,31,5635,3
Harlem River- Willis Ave. Bridge,7/10/17,52,1.8,84,31,5635,3
Harlem River- Willis Ave. Bridge,6/12/17,10,0,84,31,5635,3
Harlem River- Willis Ave. Bridge,5/15/17,155,1.6,84,31,5635,3
Harlem River- Willis Ave. Bridge,4/4/17,884,1.2,84,31,5635,3
79th St. mid-channel,10/15/17,<10,0.2,89,15,1032,<1
79th St. mid-channel,9/10/17,10,0,89,15,1032,<1
79th St. mid-channel,8/13/17,<10,0.1,89,15,1032,<1
79th St. mid-channel,7/9/17,<10,1.8,89,15,1032,<1
79th St. mid-channel,6/11/17,<10,0,89,15,1032,<1
79th St. mid-channel,5/14/17,<10,1.6,89,15,1032,<1
79th St. mid-channel,4/4/17,20,1.2,89,15,1032,<1
Pier 96 Kayak Launch,10/15/17,10,0.2,78,23,12033,5
Pier 96 Kayak Launch,9/10/17,<10,0,78,23,12033,5
Pier 96 Kayak Launch,8/13/17,10,0.1,78,23,12033,5
Pier 96 Kayak Launch,7/9/17,<10,1.8,78,23,12033,5
Pier 96 Kayak Launch,6/11/17,<10,0,78,23,12033,5
Pier 96 Kayak Launch,5/14/17,41,1.6,78,23,12033,5
East River mid-channel at Roosevelt Is.,10/16/17,20,0.1,84,17,344,<1
East River mid-channel at Roosevelt Is.,9/11/17,<10,0,84,17,344,<1
East River mid-channel at Roosevelt Is.,8/14/17,<10,0.1,84,17,344,<1
East River mid-channel at Roosevelt Is.,7/10/17,10,1.8,84,17,344,<1
East River mid-channel at Roosevelt Is.,6/12/17,<10,0,84,17,344,<1
East River mid-channel at Roosevelt Is.,5/15/17,41,1.6,84,17,344,<1
"Castle Point, NJ",10/15/17,<10,0.2,78,21,1918,<10
"Castle Point, NJ",9/10/17,<10,0,78,21,1918,<10
"Castle Point, NJ",8/13/17,<10,0.1,78,21,1918,<10
"Castle Point, NJ",7/9/17,10,1.8,78,21,1918,<10
"Castle Point, NJ",6/11/17,10,0,78,21,1918,<10
"Castle Point, NJ",5/14/17,41,1.6,78,21,1918,<10
Newtown Creek- Dutch Kills,10/16/17,52,0.1,94,57,>24196,<1
Newtown Creek- Dutch Kills,9/11/17,<10,0,94,57,>24196,<1
Newtown Creek- Dutch Kills,8/14/17,52,0.1,94,57,>24196,<1
Newtown Creek- Dutch Kills,7/10/17,10,1.8,94,57,>24196,<1
Newtown Creek- Dutch Kills,6/12/17,20,0,94,57,>24196,<1
Newtown Creek- Dutch Kills,5/15/17,247,1.6,94,57,>24196,<1
Newtown Creek- Dutch Kills,4/4/17,1835,1.2,94,57,>24196,<1
East River mid-channel at 23rd St.,10/16/17,10,0.1,87,17,450,<1
East River mid-channel at 23rd St.,9/11/17,20,0,87,17,450,<1
East River mid-channel at 23rd St.,8/14/17,<10,0.1,87,17,450,<1
East River mid-channel at 23rd St.,7/10/17,<10,1.8,87,17,450,<1
East River mid-channel at 23rd St.,6/12/17,<10,0,87,17,450,<1
East River mid-channel at 23rd St.,5/15/17,20,1.6,87,17,450,<1
East River mid-channel at 23rd St.,4/4/17,450,1.2,87,17,450,<1
Newtown Creek- Metropolitan Ave. Bridge,10/16/17,256,0.1,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,9/11/17,10,0,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,8/14/17,134,0.1,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,7/10/17,75,1.8,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,6/12/17,10,0,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,5/15/17,2723,1.6,94,173,>24196,5
Newtown Creek- Metropolitan Ave. Bridge,4/4/17,24196,1.2,94,173,>24196,5
The Battery mid-channel,10/15/17,10,0.2,88,15,288,<1
The Battery mid-channel,9/10/17,<10,0,88,15,288,<1
The Battery mid-channel,8/13/17,<10,0.1,88,15,288,<1
The Battery mid-channel,7/9/17,<10,1.8,88,15,288,<1
The Battery mid-channel,6/11/17,<10,0,88,15,288,<1
The Battery mid-channel,5/14/17,10,1.6,88,15,288,<1
The Battery mid-channel,4/4/17,216,1.2,88,15,288,<1
Gowanus Canal,10/15/17,122,0.2,74,117,>24196,6
Gowanus Canal,9/10/17,52,0,74,117,>24196,6
Gowanus Canal,8/13/17,10,0.1,74,117,>24196,6
Gowanus Canal,7/9/17,108,1.8,74,117,>24196,6
Gowanus Canal,6/11/17,<10,0,74,117,>24196,6
Gowanus Canal,5/14/17,52,1.6,74,117,>24196,6
Gowanus Canal,4/4/17,12997,1.2,74,117,>24196,6
